id,reference,hypothesis,audio_file,scenario
001,今天天气真好我们一起去公园散步吧,今天天气真好我们一起去公园散步吧,BAC009S0724W0121.wav,日常对话
002,我小时候住在杭州西湖边经常去断桥玩,我小时候住在杭州西湖边经常去断桥完,BAC009S0724W0122.wav,回忆叙述
003,那时候生活条件艰苦但过得很开心,那时候生活条件坚苦但过得很开心,BAC009S0724W0123.wav,回忆叙述
004,我退休前在纺织厂工作了三十年,我退休前在纺织厂工作了三零年,BAC009S0724W0124.wav,工作经历
005,孩子们都在外地工作很少回来,孩子们都在外地工作很少回来,BAC009S0724W0125.wav,家庭生活
006,我最怀念的是小时候过年的味道,我最怀念的是小时候过粘的味道,BAC009S0724W0126.wav,情感回忆
007,现在用手机视频通话很方便,现在用手机视频通话很方便,BAC009S0724W0127.wav,科技使用
008,希望以后能有个智能助手帮我记事情,希望以后能有个智能助手帮我记事情,BAC009S0724W0128.wav,产品期望
009,年轻时候最喜欢听邓丽君的歌,年轻时候最喜欢听邓丽军的歌,BAC009S0724W0129.wav,娱乐偏好
010,这些老照片都是珍贵的回忆,这些老照片都是珍贵的回忆,BAC009S0724W0130.wav,物品叙述
011,我老伴走的那年冬天特别冷,我老伴走的那年冬天特别冷,BAC009S0724W0131.wav,情感回忆
012,家里有三个孩子老大在北京,家里有三个孩子老大在北京,BAC009S0724W0132.wav,家庭生活
013,以前买粮还要用粮票呢,以前买粮还要用粮票呢,BAC009S0724W0133.wav,历史回忆
014,现在记性不如以前了老是忘事,现在记性不如以前了老是忘事,BAC009S0724W0134.wav,认知状态
015,小孙子今年上小学三年级,小孙子今年上小学三年纪,BAC009S0724W0135.wav,家庭生活
016,每天早上起来先打一套太极拳,每天早上起来先打一套太极拳,BAC009S0724W0136.wav,生活习惯
017,医院看病现在都用医保卡了,医院看病现在都用医保卡了,BAC009S0724W0137.wav,医疗健康
018,老家房子拆迁后搬到小区了,老家房子拆迁后搬到小区了,BAC009S0724W0138.wav,居住变迁
019,过年时候全家团聚最热闹,过年时候全家团聚最热闹,BAC009S0724W0139.wav,节日回忆
020,希望能把这些故事讲给后人听,希望能把这些故事讲给后人听,BAC009S0724W0140.wav,传承意愿
